year,player,team,age,pos,g,gs,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td,kick_ret_long,kick_ret_yds_per_ret,all_purpose_yds
2018,Jamal Agnew,DET,23,,6,0,12,57,0,16,4.8,8,216,0,45,27.0,290
2018,,,,,,,,,,,,,,,,,
2018,Julian Edelman,NWE,32,WR,12,12,20,154,0,25,7.7,,,,,,1111
2018,Tyreek Hill*+,KAN,24,WR,16,16,20,213,1,91,10.7,,,,,,1843
2018,Corey Clement,PHI,24,,11,0,6,17,0,10,2.8,13,333,0,48,25.6,801
2018,Jawill Davis,NYG,23,,7,0,12,89,0,23,7.4,7,171,0,32,24.4,300
2018,Jaydon Mickens,JAX,24,,6,0,12,59,0,16,4.9,6,149,0,31,24.8,208
2018,Blake Countess,LAR,25,fs,16,1,,,,,,17,419,0,40,24.6,419
2018,Kenjon Barner,2TM,28,,9,0,7,29,0,13,4.1,9,220,0,37,24.4,323
2018,Adoree' Jackson,TEN,23,CB,16,13,16,148,0,26,9.3,,,,,,155
2018,Alvin Kamara*,NOR,23,RB,15,13,12,82,0,16,6.8,4,126,0,50,31.5,1800
2018,River Cracraft,DEN,24,,8,0,12,40,0,20,3.3,3,43,0,23,14.3,127
2018,Taysom Hill,NOR,28,te/wr,16,4,1,0,0,0,0.0,14,348,0,47,24.9,546
2018,Marcus Murphy,BUF,27,rb,11,1,2,15,0,9,7.5,13,324,0,49,24.9,615
2018,Tim White,BAL,24,,3,0,9,75,0,14,8.3,6,135,0,37,22.5,224
2018,Ameer Abdullah,2TM,25,,10,0,,,,,,14,365,0,33,26.1,394
2018,Quadree Henderson,NYG,22,,5,0,9,68,0,21,7.6,5,112,0,30,22.4,180
2018,Adam Jones,DEN,35,cb/rcb,7,2,10,25,0,10,2.5,4,85,0,25,21.3,110
2018,Zach Pascal,IND,24,wr,16,4,,,,,,14,297,0,29,21.2,575
2018,Greg Stroman,WAS,22,cb/de,15,3,8,27,0,10,3.4,6,110,0,23,18.3,160
2018,Damiere Byrd,CAR,25,,8,0,11,104,0,30,9.5,2,34,0,22,17.0,146
2018,Antonio Callaway,CLE,21,WR,16,11,5,61,0,37,12.2,8,143,0,35,17.9,797
2018,Cole Beasley,DAL,29,wr,16,4,11,61,0,14,5.5,1,8,0,8,8.0,741
